Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Верменич,Едуард,Станіславович,Чоловіча,1943-02-19,Антрополог,селище Гайсин,"парк Поліська, буд. 7, Копичинці, 13100",+380 23 630-20-21,vanchenkovolodymyra@example.org
Єрошенко,Еріка,Аврелійовна,Жіноча,1985-10-22,Доцент,село Хуст,"площа Лінія 38-ма, буд. 197, Рені, 25680",456-65-59,makar52@example.com
Бандурка,Владислав,Болеславович,Чоловіча,1953-02-27,Медик,місто Лозова,"провулок Чорноморський 13-й, буд. 94, Радехів, 36028",481-67-72,stanislavhavrylets@example.net
Симоненко,Едуард,Святославович,Чоловіча,1952-10-05,Астроном,хутір Новоселиця,"проспект Дача Ковалевського, буд. 96, Ладижин, 37621",+380 13 245 24 64,alina63@example.net
Чуприна,Андрій,Аврелійович,Чоловіча,1993-04-04,Скульптор,село Брянка,"сквер Раїси Сергієнко, буд. 21, Зугрес, 57460",+380 82 977 56 24,demian40@example.com
Примаченко,Богданна,Мартинівна,Жіноча,1959-10-17,Машиніст,хутір Перечин,"парк Балтський 6-й, буд. 03 кв. 80, Авдіївка, 88557",+380 69 753-81-00,shcherbanviktor@example.net
Бандера,Ганна,Артемівна,Жіноча,1939-03-06,Історик,місто Хрустальний,"площа Проектний 5-й, буд. 3, Тульчин, 92816",+380 89 754 83 10,dakhnoerika@example.org
Корпанюк,Демʼян,Федорович,Чоловіча,1988-06-27,Ґрунтознавець,хутір Антрацит,"сквер Глаубермана, буд. 5 кв. 537, Радехів, 57331",+380 71 526 29 97,aromanchuk@example.net
Приходько,Василь,Теодорович,Чоловіча,1960-11-05,Провізор,село Арциз,"набережна Куниці, буд. 9 кв. 3, Часів Яр, 90875",715-44-02,ushtepa@example.com
Деревʼянко,Орися,Бориславівна,Жіноча,1979-11-19,Агроном,село Барвінкове,"вулиця Водопровідний 2-й, буд. 165, Щастя, 81672",227-56-78,pavlo42@example.org
Батюк,Георгій,Ростиславович,Чоловіча,1982-03-19,Намотувальник,селище Івано-Франківськ,"набережна Лазурний 4-й, буд. 62 кв. 58, Берислав, 61851",+380 92 177-35-15,andriibatiuk@example.com
Захаренко,Варвара,Глібівна,Жіноча,1993-12-08,Сценарист,місто Глухів,"провулок Юрія Коваленка, буд. 5, Костянтинівка, 46192",080 457-97-00,okhrimenkohlib@example.com
Лесик,Марта,Мартинівна,Жіноча,2001-03-27,Бухгалтер,місто Українка,"вулиця Шоста, буд. 896, Новий Розділ, 12428",+380 87 941-76-14,marianababychenko@example.org
Лукаш,Євген,Тарасович,Чоловіча,1997-01-09,Ветеринар,хутір Дубровиця,"сквер Почаївська, буд. 738, Благовіщенське, 46547",778-46-48,ziukhymenko@example.net
Гаврилів,Богуслав,Єлисейович,Чоловіча,1965-05-24,Юрист,хутір Скалат,"узвіз Ламаний, буд. 25, Севастополь, 75801",+380 (67) 155-59-45,fhavryshkevych@example.com
Базавлученко,Федір,Борисович,Чоловіча,1981-02-19,Юрист,хутір Сніжне,"парк Іванівський переїзд, буд. 2, Марганець, 89869",242 35 34,mykhaliuksemen@example.org
Сомко,Михайло,Гаврилович,Чоловіча,1980-10-26,Гицель,село Соснівка,"вулиця Корнюшина, буд. 80, Прилуки, 90096",+380 48 911-96-37,ctsiutsiura@example.org
Гречаник,Дарина,Ростиславівна,Жіноча,1969-10-03,Публіцист,хутір Хирів,"площа Сергія Ядова, буд. 7 кв. 1, Дніпрорудне, 87639",+380 02 456 95 01,khrystyna97@example.com
Балабан,Святослава,Микитівна,Жіноча,1970-01-27,Реабілітолог,селище Рахів,"узвіз Слобідська, буд. 57 кв. 5, Старобільськ, 91363",616 72 36,sheremetademian@example.org
Скоробогатько,Ростислав,Микитович,Чоловіча,1951-11-09,Етнограф,селище Мар'їнка,"сквер Пересипський 2-й, буд. 488, Кам'янка (Черкаська область), 06715",+380 56 769-83-20,ahavrysh@example.net
Лазаренко,Василина,Марківна,Жіноча,1993-02-26,Антрополог,місто Молочанськ,"парк Сталепрокатна, буд. 77, Часів Яр, 34061",+380 49 758 04 18,dziubadanna@example.net
Корсун,Орися,Олегівна,Жіноча,1995-02-25,Публіцист,село Чигирин,"вулиця Геологічна, буд. 56 кв. 182, Самбір, 44937",+380 07 066-81-28,myroslav24@example.net
Даценко,Василина,Охрімівна,Жіноча,1980-06-24,Ботанік,селище Боково-Хрустальне,"провулок Рибальський, буд. 683, Мар'їнка, 56088",851-86-74,iaroslava21@example.net
Редько,Микита,Павлович,Чоловіча,1942-04-17,Бухгалтер,місто Слов'янськ,"узвіз Сергія Ейзенштейна, буд. 96 кв. 645, Одеса, 61912",622-47-66,zaichenkonataliia@example.net
Лесик,Роксолана,Трохимівна,Жіноча,1995-04-26,Біолог,місто Сновськ,"провулок Молокова, буд. 9, Моршин, 15222",621 51 58,olena52@example.com
Теліженко,Ада,Михайлівна,Жіноча,1984-01-02,Кіноактор,хутір Залізне,"набережна Місячний, буд. 78, Теплодар, 08503",+380 17 540 26 25,lbabiak@example.com
Чуйко,Станіслав,Захарович,Чоловіча,1991-01-03,Електрослюсар,місто Амвросіївка,"вулиця Донецька, буд. 3, Збараж, 10216",+380 (60) 307-63-28,vasylynazhuchenko@example.net
Скоробогатько,Людмила,Францівна,Жіноча,2001-04-14,Нотаріус,місто Чистякове,"шосе Кривобалківська, буд. 309 кв. 05, Богуслав, 93594",025 810 36 76,mykyta90@example.org
Артим,Марʼяна,Августинівна,Жіноча,1952-01-23,Композитор,селище Новоград-Волинський,"сквер Хімічна, буд. 85, Вовчанськ, 43387",079 072-69-74,labaerika@example.org
Гаврилець,Златослава,Феофанівна,Жіноча,1954-06-08,Краєзнавець,село Дніпро,"вулиця Восьмого березня 8-й, буд. 13 кв. 178, Ізюм, 72473",083 387 16 04,wtovstukha@example.org
Дробʼязко,Орест,Устимович,Чоловіча,1982-12-10,Програміст,місто Шахтарськ,"вулиця Українських Героїв, буд. 054 кв. 221, Білицьке, 54746",044 063-23-72,oksana62@example.net
Тесленко,Леонтій,Мирославович,Чоловіча,1994-04-12,Письменник,село Тальне,"шосе Українська, буд. 11 кв. 890, Коростень, 09090",030 445-19-90,khrystyna33@example.com
Заїка,Михайлина,Юстимівна,Жіноча,1959-04-17,Головний меркшейдер,хутір Помічна,"узвіз Неплія, буд. 5, Городище, 26960",967-94-57,daryna99@example.net
Журавель,Аніта,Гаврилівна,Жіноча,2007-06-06,Реставратор,село Пологи,"площа Чумацька, буд. 94 кв. 31, Білозерське, 56135",046 804-80-34,klyment87@example.net
Даниленко,Аніта,Омелянівна,Жіноча,1973-06-02,Кіноактор,село Угнів,"набережна Травневий 1-й, буд. 383, Тернівка, 86867",061 488 23 23,plutsenko@example.com
Іщак,Гліб,Яремович,Чоловіча,1995-10-20,Скульптор,селище Підгородне,"вулиця Новиков міст, буд. 5 кв. 2, Сокиряни, 58190",+380 33 142-90-11,fartushniakviktor@example.com
Христич,Софія,Данилівна,Жіноча,1966-04-29,Золотар,хутір Кальміуське,"парк Льва Симиренка, буд. 2 кв. 5, Батурин, 39935",073 305 01 23,zhaidenko@example.net
Притула,Альберт,Михайлович,Чоловіча,1947-11-27,Стиліст,хутір Буринь,"провулок Селищний, буд. 4 кв. 603, Мерефа, 50228",151-04-69,asaulairena@example.net
Кабалюк,Клавдія,Адамівна,Жіноча,1968-02-12,Бібліограф,село Винники,"проспект Лінія 43-тя, буд. 805 кв. 287, Гребінка, 18451",675 67 90,liubov49@example.com
Вернидуб,Ліза,Францівна,Жіноча,1967-02-25,Петрограф,село Новодружеськ,"проспект Вапняне селище, буд. 7, Нетішин, 70850",424 77 48,sychadam@example.org
Вітер,Демʼян,Адамович,Чоловіча,1962-03-01,Кінолог,хутір Ржищів,"проспект Миколи Костомарова, буд. 042 кв. 0, Вишгород, 68720",+380 82 382 31 36,amaliia75@example.org
Голобородько,Ярослав,Олесьович,Чоловіча,2000-11-14,Модельєр,село Бровари,"площа Пироговська, буд. 413 кв. 76, Глухів, 26469",+380 (14) 675-06-13,khomenkopavlo@example.net
Нестайко,Вадим,Федорович,Чоловіча,2008-05-13,Редактор,село Шумськ,"провулок Костанді 3-й, буд. 738, Чернівці, 78820",145 63 39,ezasiadko@example.com
Романець,Орися,Гордіївна,Жіноча,1977-09-20,Прокурор,хутір Лозова,"проспект Міцкевича, буд. 2 кв. 9, Шаргород, 49939",842 55 83,markoshutko@example.org
Сич,Володимир,Пантелеймонович,Чоловіча,1941-12-03,Електрослюсар,хутір Тальне,"вулиця Волова, буд. 04 кв. 93, Липовець, 50398",104-95-53,gzhurba@example.org
Шведченко,Ярослава,Назарівна,Жіноча,2000-03-10,Реабілітолог,село Винники,"шосе Казковий, буд. 2 кв. 69, Пустомити, 59821",064 01 34,pavlychenkoruslan@example.net
Жайворон,Маруся,Тарасівна,Жіноча,1994-01-13,Хімік,хутір Миколаїв,"провулок Аеродромний 2-й, буд. 945 кв. 84, Донецьк, 03347",+380 91 734 39 76,khudobiakorkhyp@example.net
Єрошенко,Данна,Лесівна,Жіноча,1942-07-28,Паблік рилейшнз,місто Білицьке,"сквер Новоукраїнський, буд. 56, Сніжне, 25103",+380 94 851 59 52,avreliiiakymchuk@example.com
Михайлюк,Остап,Альбертович,Чоловіча,2005-02-21,Різноробочий,місто Багачеве,"шосе Міцкевича, буд. 9 кв. 7, Перевальськ, 22720",+380 (55) 327-60-62,xvashchenko-zakharchenko@example.net
Терещук,Омелян,Петрович,Чоловіча,1952-08-31,Ботанік,село Зіньків,"парк Наявний 2-й, буд. 2 кв. 952, Золоте, 91670",+380 64 194-51-65,ostap04@example.org
Гаврилюк,Христина,Степанівна,Жіноча,1950-01-18,Шериф,село Городня,"вулиця Тюльпанний, буд. 6 кв. 53, Сімферополь, 95779",+380 26 023-48-97,solomon95@example.net
Корпанюк,Йосип,Опанасович,Чоловіча,1980-06-15,Швачка,селище Лохвиця,"сквер Десятого квітня, буд. 17 кв. 5, Луганськ, 51705",+380 32 789-31-77,alemeshko@example.com
Козаченко,Ірина,Веніяминівна,Жіноча,1998-05-29,Паралегал,хутір Любомль,"проспект Шефська, буд. 645, Жашків, 43447",812 56 92,liudmylariabchenko@example.net
Юрчишин,Владислав,Борисович,Чоловіча,1954-03-16,Драматург,село Корець,"сквер Іванівська, буд. 77, Жмеринка, 51986",012 069 87 64,gsimashkevych@example.net
Калениченко,Назар,Едуардович,Чоловіча,2005-12-29,Музикант,місто Макіївка,"вулиця Таїрова, буд. 831 кв. 01, Кіцмань, 64918",+380 59 926-79-55,kostiantyn42@example.net
Вертипорох,Леон,Вікторович,Чоловіча,1991-10-26,Стоматолог,селище Хорол,"набережна Яблунева, буд. 07 кв. 162, Прилуки, 34277",+380 00 132 45 25,priska29@example.com
Рак,Мартин,Дмитрович,Чоловіча,1997-05-01,Гірничий інженер,хутір Кривий Ріг,"проспект Михайла Слабченка, буд. 175 кв. 66, Кремінна, 88340",+380 29 395-52-78,mhupalo@example.com
Примаченко,Алевтин,Аврелійович,Чоловіча,1962-11-30,Письменник,хутір Корюківка,"шосе Уральський, буд. 8, Перещепине, 91962",+380 58 281 73 30,tryhubsolomon@example.com
Гуцуляк,Олена,Панасівна,Жіноча,1986-04-06,Кіноактор,місто Петрово-Красносілля,"вулиця Технічний, буд. 2, Ірпінь, 35151",+380 (94) 167-64-58,wbezborodko@example.com
Павлик,Владислав,Богодарович,Чоловіча,2005-01-09,Різноробочий,селище Моршин,"проспект Західний 4-й, буд. 4 кв. 11, Зеленодольськ, 26225",646 31 61,simashkevychivan@example.com
Захаренко,Леонід,Петрович,Чоловіча,1939-10-31,Намотувальник,село Путивль,"набережна Тролейбусна, буд. 249, Луцьк, 26761",092 251 20 03,holoborodkonadiia@example.com
Левченко,Антон,Адамович,Чоловіча,1986-08-21,Бібліограф,село Кам'янка-Дніпровська,"площа Аграрна, буд. 96, Кадіївка, 74585",464-70-74,tsiutsiuratereza@example.com
Рева,Іван,Євгенійович,Чоловіча,1999-03-11,Економіст,село Подільськ,"провулок Юннатів 2-й, буд. 027, Охтирка, 07339",+380 82 453 11 48,haivoronskaostap@example.org
Цибуленко,Федір,Вадимович,Чоловіча,1987-02-22,Лікар,село Чортків,"площа Житомирська, буд. 0 кв. 60, Шепетівка, 18178",+380 (29) 939-81-35,oleksandr98@example.com
Забарна,Соломія,Демʼянівна,Жіноча,2007-10-13,Дизайнер,місто Городище,"провулок Красива, буд. 9 кв. 1, Рожище, 13529",+380 12 884-45-13,fhrechko@example.com
Якименко,Пріска,Демидівна,Жіноча,1969-12-20,Круп'є,хутір Білопілля,"провулок Каретний, буд. 18, Путивль, 46779",026 190-18-24,zakharhavrysh@example.com
Карпа,Іван,Панасович,Чоловіча,1960-01-17,Співак,селище Хрустальний,"проспект Ігоря Ветрогонова, буд. 65 кв. 28, Заліщики, 55537",+380 18 976-54-99,volodymyrdashenko@example.org
Гавриленко,Людмила,Варфоломіївна,Жіноча,1955-10-15,Ювелір,село Південне,"провулок Каретний, буд. 68, Ізмаїл, 75580",022 652-59-50,zhadanoksana@example.com
Вітер,Мирослав,Святославович,Чоловіча,1946-04-18,Конструктор,село Жашків,"вулиця Лінія 44-та, буд. 9 кв. 6, Гайворон, 27735",+380 07 475 19 96,iaroslavbabiuk@example.org
Остапчук,Ада,Віталіївна,Жіноча,1947-09-08,Астрофізик,місто Заліщики,"провулок Посівна, буд. 65, Луцьк, 99956",+380 31 138 68 08,illiahavryshkevych@example.net
Джус,Розалія,Валентинівна,Жіноча,2003-01-13,Локсмайстер,місто Харків,"вулиця Селищний, буд. 9 кв. 563, Кілія, 73649",710 48 22,stefan36@example.org
Гриценко,Ярослава,Азарівна,Жіноча,1959-07-09,Кушнір,село Дунаївці,"парк Олексіївська, буд. 610 кв. 8, Київ, 47975",+380 31 867-47-77,mykhailyna07@example.com
Данькевич,Опанас,Дмитрович,Чоловіча,1952-09-28,Ботанік,селище Заліщики,"проспект Якірний, буд. 311 кв. 20, Жовті Води, 13089",+380 88 004-15-98,ykopytko@example.net
Хоменко,Юстим,Миронович,Чоловіча,1946-05-15,Прокурор,селище Рівне,"сквер Академіка Сахарова, буд. 36, Острог, 89479",+380 26 892 17 63,ctryhub@example.org
Василенко,Вадим,Амвросійович,Чоловіча,1991-09-08,Науковець,село Золоте,"вулиця Чорноморський 6-й, буд. 0 кв. 47, Славута, 11672",011 883 90 55,stefanlukash@example.com
Данилюк,Климент,Ааронович,Чоловіча,1969-08-22,Каскадер,селище Жовті Води,"проспект Східчастий 3-й, буд. 9, Харцизьк, 82297",517-80-79,tykhamariia@example.org
Цісик,Орися,Омелянівна,Жіноча,1965-02-12,Соціолог,селище Деражня,"вулиця Лятошинського, буд. 90, Шумськ, 58074",+380 22 434-84-38,haidaburaopanas@example.com
Штепа,Кирило,Соломонович,Чоловіча,1947-11-20,Зоолог,місто Кремінна,"сквер Матюшенка, буд. 77 кв. 00, Жашків, 31830",793 42 91,danylobabych@example.net
Євтушенко,Амалія,Георгіївна,Жіноча,2000-08-20,Стоматолог,селище Арциз,"провулок Газовий, буд. 549, Батурин, 83715",+380 42 537-22-58,snizhanabashtan@example.net
Семенченко,Орхип,Григорійович,Чоловіча,1999-07-31,Медик,місто Бобровиця,"проспект Панченка, буд. 2, Гребінка, 14781",008 431-63-13,velychkoolha@example.net
Бабій,Климент,Ааронович,Чоловіча,1956-11-29,Геолог,селище Городенка,"вулиця Палія Семена, буд. 4 кв. 05, Заставна, 34569",+380 48 105-56-89,aleksiichukmykhailyna@example.net
Лазаренко,Данило,Охрімович,Чоловіча,1950-11-03,Антрополог,місто Путивль,"провулок Слави, буд. 54, Заліщики, 13314",019 469 67 31,zharkorostyslav@example.net
Абраменко,Костянтин,Альбертович,Чоловіча,2005-12-16,Електротехнік,місто Сокологірськ,"узвіз Сергія Шелухина, буд. 772, Кадіївка, 09381",404-48-21,babiichukieva@example.org
Свистун,Геннадій,Єлисейович,Чоловіча,1979-12-12,Дерун,селище Жданівка,"парк Бєлякова, буд. 6 кв. 63, Білопілля, 17946",677-67-36,zakharkhmara@example.com
Масоха,Амалія,Романівна,Жіноча,1939-11-06,Парфюмер,селище Хорол,"провулок 18-та Лінія 6-й ст. Люстдорфської дороги, буд. 586, Перечин, 25220",039 826 89 73,iermolenkoorest@example.net
Гузь,Тарас,Сергійович,Чоловіча,1958-10-18,Футболіст,село Слов'янськ,"узвіз Гілельса, буд. 9, Перевальськ, 35411",015 982 14 02,orkhypudovychenko@example.org
Бебешко,Прохір,Трохимович,Чоловіча,1999-12-17,Паблік рилейшнз,місто Славута,"вулиця Ясна, буд. 135 кв. 4, Хоростків, 72956",+380 16 834-58-20,hupalomakar@example.net
Штепа,Іван,Миронович,Чоловіча,1945-12-30,Конструктор,місто Бровари,"шосе 9-та Лінія Дачі Ковалевського, буд. 7 кв. 0, Вишневе, 46607",098 781 20 22,petro81@example.org
Туркало,Франц,Федорович,Чоловіча,1959-11-07,Патологоанатом,село Пологи,"сквер Петра Лещенка, буд. 1, Тисмениця, 79912",305 95 15,whaida@example.com
Ґерус,Валентин,Єлисейович,Чоловіча,1983-07-04,Паблік рилейшнз,місто Коломия,"парк Академіка Ясиновського, буд. 72 кв. 2, Жмеринка, 33658",+380 85 319-09-03,andriievychmykolai@example.net
Запорожець,Петро,Костянтинович,Чоловіча,1942-01-30,Стоматолог,селище Богуслав,"парк Проїзний 3-й, буд. 2, Шпола, 17206",351-74-44,tmazepa@example.com
Дашкевич,Камілла,Августинівна,Жіноча,2001-07-22,Випробувач,селище Новодністровськ,"провулок Ференца Ліста, буд. 6 кв. 04, Кролевець, 19318",+380 82 169 22 79,darynabazylevych@example.org
Іваненко,Леопольд,Устимович,Чоловіча,1952-01-01,Кінокритик,хутір Глухів,"площа Водний, буд. 223, Радехів, 82848",+380 01 687-43-56,bohodarvdovenko@example.com
Закусило,Геннадій,Максимович,Чоловіча,1953-01-30,Громадський діяч,село Авдіївка,"площа Лінія 32-га, буд. 7 кв. 1, Золочів, 60517",081 314 75 04,davydenkooksana@example.net
Андрієнко,Леопольд,Геннадійович,Чоловіча,1944-10-19,Гінеколог,хутір Снігурівка,"сквер Карпенка-Карого, буд. 999 кв. 2, Вознесенівка, 06550",085 048-04-02,wnehoda@example.com
Цюпа,Віктор,Прохорович,Чоловіча,1941-06-02,Ювелір,селище Мирноград,"набережна Лінія 42-га, буд. 749, Корсунь-Шевченківський, 64403",000 570-03-10,dan78@example.com
Лукаш,Гаврило,Азарович,Чоловіча,1943-09-18,Етнограф,село Покров,"парк Данила Самойловича, буд. 6, Чоп, 36248",+380 43 940-63-70,vusyk@example.net
Голик,Анжела,Едуардівна,Жіноча,1957-11-12,Журналіст,хутір Соснівка,"шосе Селекційна, буд. 83, Часів Яр, 45221",+380 02 844-02-15,priska02@example.com
Ковпак,Роксолана,Зорянівна,Жіноча,1943-03-07,Паралегал,село Камінь-Каширський,"сквер Сергія Уточкіна, буд. 7 кв. 700, Славута, 37195",+380 67 983-55-65,mykytapavlyk@example.com
Фаренюк,Августин,Ростиславович,Чоловіча,1961-05-13,Актор,селище Берегове,"проспект Горизонтальна, буд. 795, Хрустальний, 97306",083 695 23 92,usykvarfolomii@example.net
Бевз,Вікторія,Мартинівна,Жіноча,1986-08-06,Модель,хутір Брянка,"вулиця Сергія Ядова, буд. 5, Дунаївці, 82645",059 861 51 09,viaremko@example.org
Чаленко,Анастасія,Венедиктівна,Жіноча,1977-12-24,Кінорежисер,хутір Петрово-Красносілля,"площа Восьмого березня 1-й, буд. 8 кв. 01, Буринь, 78135",442-84-08,albina47@example.com
Бандура,Богданна,Зорянівна,Жіноча,1961-08-10,Фармацевт,селище Бахмут,"сквер Яружний, буд. 8, Борзна, 26253",019 14 61,nestor37@example.com
Юрченко,Пармен,Володимирович,Чоловіча,1959-07-25,Редактор,селище Мала Виска,"набережна Закарпатська, буд. 55, Ізмаїл, 94425",811-75-44,cakulenko@example.org
Семенченко,Світлана,Тарасівна,Жіноча,1985-03-28,Астроном,хутір Оріхів,"сквер Суднобудівна, буд. 8 кв. 18, Дружківка, 50677",029 749-04-64,azarkabanenko@example.org
Харченко,Клавдія,Остапівна,Жіноча,1953-02-20,Сценарист,селище Жовті Води,"площа Банний, буд. 2, Ялта, 86559",+380 66 309-94-62,bohodarhaievskyi@example.net
Акуленко,Еріка,Павлівна,Жіноча,2007-03-10,Бізнесмен,місто Павлоград,"набережна Дачний 1-й, буд. 138, Снігурівка, 57313",078 761 28 66,viktor25@example.com
Атрощенко,Віолетта,Богданівна,Жіноча,1964-06-23,Гінеколог,місто Дрогобич,"набережна Манежна, буд. 26, Зборів, 69501",+380 93 975-94-05,iaroslava95@example.net
Атаманюк,Ольга,Володимирівна,Жіноча,1991-06-20,Водій,селище Південне,"сквер Москеті, буд. 050 кв. 3, Підгайці, 68647",862 85 81,davydenkozlatoslava@example.com
Валенко,Роман,Венедиктович,Чоловіча,1951-06-17,Кінорежисер,селище Красноперекопськ,"проспект Олександра Богомольця, буд. 413 кв. 291, Тальне, 19222",402-38-01,wonufriienko@example.org
Парасюк,Валентин,Трохимович,Чоловіча,1951-04-19,Каскадер,хутір Борислав,"вулиця Заводська 5-та, буд. 47, Судова Вишня, 86842",+380 (53) 350-37-34,qustenko@example.org
Єресько,Лариса,Лесівна,Жіноча,1965-06-28,Золотар,хутір Городенка,"провулок Владислава Домбровського, буд. 1 кв. 938, Суходільськ, 69940",056 180-74-43,rebrykanita@example.net
Щербак,Дарина,Павлівна,Жіноча,1983-08-30,Нотаріус,селище Вашківці,"вулиця Український 3-й, буд. 544 кв. 1, Нова Каховка, 56893",354 69 91,zakhardanchenko@example.com
Арсенич,Кирило,Федорович,Чоловіча,2001-11-08,Кінокритик,місто Дніпрорудне,"набережна Лінія 35-та, буд. 9 кв. 72, Малин, 04792",025 655 74 93,tkachihnat@example.org
Перебийніс,Степан,Охрімович,Чоловіча,2000-12-11,Драматург,село Бершадь,"провулок Квітки-Основ’яненка, буд. 675 кв. 636, Верхньодніпровськ, 90439",028 190 50 14,vishchak@example.com
Тихий,Юхим,Олегович,Чоловіча,2001-12-12,Мінералог,село Сіверськодонецьк,"проспект Аеропортівський 2-й, буд. 546, Заводське, 80432",006 839-42-49,khmarapavlo@example.com
Онищенко,Ярослава,Кирилівна,Жіноча,1978-09-02,Ботанік,хутір Молочанськ,"парк Аеропортівський 5-й, буд. 1, Бурштин, 21698",221-39-95,deisuniosyp@example.net
Аверченко,Ярема,Костянтинович,Чоловіча,1992-09-05,Актор,селище Новоазовськ,"вулиця Міцкевича, буд. 192, Торецьк, 83070",+380 11 085 57 35,nbevzenko@example.org
Арсенич,Ілля,Юстимович,Чоловіча,1972-10-05,Маркетолог,селище Дубровиця,"узвіз Академіка Липського, буд. 61, Чоп, 78193",987 87 61,zaietsmariia@example.org
Андрусенко,Болеслав,Гордійович,Чоловіча,1973-04-01,Зоолог,місто Покровськ,"шосе Скидановська, буд. 98, Радехів, 33645",056 115 21 06,hvyshniak@example.org
Гунько,Йосип,Панасович,Чоловіча,1958-01-31,Продюсер,хутір Антрацит,"площа Самодіяльна, буд. 526, Сарни, 54790",+380 83 104-80-28,hkhrystych@example.org
